,mass,act,eff,aver,nucl,Unnamed: 0,beckgr,m_data,Device,activity,aver_range_score,sigma
7,0.05,0.6,0.35,0.21,K_10_A=12,,,,,,,
8,0.1,1.2,0.3,0.36,K_10_A=12,,,,,,,
9,0.15,1.8,0.28,0.51,K_10_A=12,,,,,,,
10,0.2,2.4,0.23,0.56,K_10_A=12,,,,,,,
11,0.35,4.2,0.22,0.91,K_10_A=12,,,,,,,
22,0.05,,0.4027397260273971,,K_1_A=14.6,17.0,0.844,"[1.09, 1.16, 1.2, 1.14, 1.1]",AT_OWN,0.73,0.2939999999999999,0.0401995024844835
23,0.15,,0.3059360730593607,,K_1_A=14.6,16.0,0.844,"[1.54, 1.52, 1.52, 1.51, 1.48]",AT_OWN,2.19,0.67,0.0195959179422654
24,0.3,,0.2621004566210046,,K_1_A=14.6,18.0,0.844,"[2.06, 1.97, 1.97, 1.99, 1.97]",AT_OWN,4.38,1.148,0.0348711915483254
25,0.05,,0.3891891891891895,,K_2_A=7.4,19.0,0.82,"[0.998, 0.994, 0.942, 0.952, 0.934]",AT_OWN,0.37,0.1440000000000001,0.0267731208490904
26,0.15,,0.3216216216216218,,K_2_A=7.4,20.0,0.815,"[1.16, 1.14, 1.15, 1.21, 1.2]",AT_OWN,1.11,0.3570000000000002,0.0278567765543682
27,0.3,,0.2274774774774774,,K_2_A=7.4,21.0,0.815,"[1.31, 1.34, 1.34, 1.3, 1.31]",AT_OWN,2.22,0.5049999999999999,0.0167332005306815
28,0.05,,0.487378640776699,,K_3_A=10.3,23.0,0.811,"[1.01, 1.1, 1.08, 1.05, 1.07]",AT_OWN,0.515,0.251,0.0305941170815567
29,0.1,,0.4106796116504853,,K_3_A=10.3,24.0,0.801,"[1.28, 1.24, 1.17, 1.22, 1.21]",AT_OWN,1.03,0.4229999999999999,0.0361109401705356
30,0.3,,0.2631067961165048,,K_3_A=10.3,22.0,0.789,"[1.59, 1.63, 1.61, 1.62, 1.56]",AT_OWN,3.0900000000000003,0.8129999999999998,0.0248193472919816
0,0.03,0.432,0.44,0.19,K_simpl_A=14.4,,,,,,,
1,0.05,0.72,0.39,0.28,K_simpl_A=14.4,,,,,,,
2,0.07,1.008,0.37,0.37,K_simpl_A=14.4,,,,,,,
3,0.1,1.44,0.35,0.51,K_simpl_A=14.4,,,,,,,
4,0.15,2.16,0.29,0.62,K_simpl_A=14.4,,,,,,,
5,0.2,2.88,0.29,0.83,K_simpl_A=14.4,,,,,,,
6,0.25,3.6,0.27,0.98,K_simpl_A=14.4,,,,,,,
14,0.02,0.377,0.34,0.13,Sr_05_A=18.86,,,,,,,
15,0.05,0.943,0.27,0.25,Sr_05_A=18.86,,,,,,,
16,0.07,1.32,0.27,0.35,Sr_05_A=18.86,,,,,,,
17,0.1,1.886,0.22,0.42,Sr_05_A=18.86,,,,,,,
18,0.15,2.829,0.21,0.58,Sr_05_A=18.86,,,,,,,
19,0.17,3.206,0.2,0.65,Sr_05_A=18.86,,,,,,,
20,0.2,3.772,0.18,0.68,Sr_05_A=18.86,,,,,,,
21,0.25,4.715,0.18,0.86,Sr_05_A=18.86,,,,,,,
31,0.15,,0.4076682316118936,,Sr_1_A=2.13,0.0,0.823,"[0.992, 0.948, 0.944, 0.929]",AT_OWN,0.3194999999999999,0.1302499999999999,0.023466731770743
32,0.15,,0.3928012519561814,,Sr_1_A=2.13,9.0,0.841,"[0.957, 1, 0.964, 0.961, 0.981, 0.936]",AT_OWN,0.3194999999999999,0.1254999999999999,0.019956202043475
33,0.3,,0.3151799687010954,,Sr_1_A=2.13,1.0,0.832,"[0.987, 1.01, 1.01, 1.05, 1.11]",AT_OWN,0.6389999999999999,0.2013999999999999,0.0433386663385019
34,0.45,,0.269170579029734,,Sr_1_A=2.13,2.0,0.832,"[1.07, 1.15, 1.12, 1.07, 1.04]",AT_OWN,0.9585,0.2580000000000001,0.0394968353162629
35,0.05,,0.7116788321167883,,Sr_2_A=10.96,3.0,0.826,"[1.23, 1.21, 1.17, 1.21, 1.26]",AT_OWN,0.548,0.39,0.0293938769133981
36,0.15,,0.4708029197080292,,Sr_2_A=10.96,4.0,0.826,"[1.61, 1.63, 1.56, 1.64, 1.56]",AT_OWN,1.644,0.7740000000000001,0.0340587727318527
37,0.3,,0.3801703163017031,,Sr_2_A=10.96,5.0,0.826,"[2.1, 2.06, 2.06, 2.14, 2.02]",AT_OWN,3.2880000000000003,1.25,0.0407921561087423
38,0.05,,0.5154541131716597,,Sr_3_A=21.03,7.0,0.826,"[1.35, 1.37, 1.4, 1.35, 1.37]",AT_OWN,1.0515,0.5420000000000001,0.0183303027798233
39,0.15,,0.461562846726898,,Sr_3_A=21.03,6.0,0.826,"[2.25, 2.38, 2.17, 2.35, 2.26]",AT_OWN,3.1545,1.456,0.0752063827078527
40,0.3,,0.3513499233898663,,Sr_3_A=21.03,8.0,0.818,"[2.988, 3.101, 3.015]",AT_OWN,6.309,2.216666666666667,0.0481825233415141
41,0.05,,0.4522251308900522,,Sr_4_A=30.56,10.0,0.873,"[1.64, 1.64, 1.57, 1.52, 1.45]",AT_OWN,1.528,0.6909999999999998,0.0728285658241324
42,0.15,,0.4164485165794067,,Sr_4_A=30.56,11.0,0.873,"[2.76, 2.86, 2.74, 2.82, 2.73]",AT_OWN,4.584,1.909,0.0499599839871871
43,0.3,,0.3792539267015707,,Sr_4_A=30.56,12.0,0.789,"[4.22, 4.34, 4.29, 4.22, 4.26]",AT_OWN,9.168,3.477,0.0454312667664022
44,0.05,,0.6100463990316725,,Sr_5_A=49.57,13.0,0.848,"[2.33, 2.35, 2.44, 2.31, 2.37]",AT_OWN,2.4785000000000004,1.5120000000000005,0.0447213595499957
45,0.15,,0.4540380606549661,,Sr_5_A=49.57,14.0,0.848,"[4.26, 4.11, 4.22, 4.26, 4.27]",AT_OWN,7.435499999999999,3.3760000000000003,0.0595315042645486
46,0.3,,0.3752941967587923,,Sr_5_A=49.57,15.0,0.827,"[6.49, 6.4, 6.28, 6.5, 6.37]",AT_OWN,14.871,5.581,0.0813387976306509
